date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,TUR,1097,222,53,822,372,34,1063,70,58,92,0.4531,55,0,9,61,0,0,43,7,8,0.5354,0.392,0.286,0.5765,0.4904,0.6429,0.4667,,,,,,,,,,
2020-01-23,TUR,10610,2527,221,7862,8873,125,10485,211,157,232,0.4266,131,0,36,175,0,4,134,15,4,0.3128,0.7364,0.8964,0.1111,0.4581,0.4118,0.4608,,,,,,,,,,
2020-01-24,TUR,7583,1400,190,5993,4557,84,7499,347,131,202,0.2741,137,0,63,284,0,3,81,34,13,0.195,0.3055,0.1915,0.1563,0.2655,0.3333,0.2604,,,,,,,,,,
2020-01-25,TUR,7710,1338,286,6086,2822,70,7640,621,167,207,0.2119,171,0,16,605,0,25,61,71,10,0.1008,0.106,0.0272,0.1023,0.2058,0.2,0.2061,,,,,,,,,,
2020-01-26,TUR,11144,1803,317,9024,4831,82,11062,591,214,370,0.2658,280,0,54,537,0,42,65,90,17,0.3549,0.1899,0.5241,0.3887,0.259,0.6,0.2489,,,,,,,,,,
2020-01-27,TUR,9847,2141,336,7370,4650,96,9751,390,198,231,0.3367,161,0,43,347,2,3,124,58,11,0.3524,0.3996,0.4539,0.272,0.3288,0.2105,0.3383,,,,,,,,,,
2020-01-28,TUR,7763,2068,317,5378,4388,137,7626,457,223,370,0.3279,278,0,34,423,1,5,132,75,10,0.2178,0.2155,0.7265,0.1888,0.3216,0.3333,0.3209,,,,,,,,,,
2020-01-29,TUR,6587,1810,282,4495,3301,131,6456,224,103,169,0.315,104,0,25,199,0,7,48,36,12,0.4614,0.4556,0.3005,0.4778,0.2736,0.6,0.2396,,,,,,,,,,
2020-01-30,TUR,11057,3124,593,7340,6091,185,10872,416,138,328,0.2491,180,0,24,392,0,24,76,23,15,0.0921,0.0591,0.152,0.1119,0.2596,0.3913,0.2514,,,,,,,,,,
2020-01-31,TUR,9128,2395,470,6263,4680,220,8908,346,126,281,0.2669,208,0,27,319,3,15,54,42,12,0.1951,0.5103,0.1131,0.0608,0.2925,0.4545,0.2804,,,,,,,,,,
2020-02-01,TUR,6908,1491,287,5130,4027,117,6791,154,74,250,0.3246,185,0,19,135,1,6,31,18,18,0.5831,0.5906,0.6275,0.5585,0.3467,0.4,0.3407,,,,,,,,,,
2020-02-02,TUR,8373,1645,433,6295,5377,113,8260,220,97,275,0.306,178,0,12,208,0,4,30,61,2,0.1555,0.0944,0.0382,0.2976,0.36,0.3333,0.3623,,,,,,,,,,
2020-02-03,TUR,4749,1156,155,3438,2767,119,4630,137,44,256,0.2431,197,0,13,124,0,5,20,10,9,0.1919,0.2336,0.0723,0.1273,0.2393,0.3125,0.2277,,,,,,,,,,
2020-02-04,TUR,3532,933,161,2438,1974,101,3431,105,34,142,0.2446,91,0,5,100,2,0,20,10,2,0.0561,0.0207,0.0112,0.1776,0.2809,0.7778,0.225,,,,,,,,,,
