date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-01-22,_WORLD,268688,58585,6970,203133,199311,10176,258512,27716,17222,29168,0.3832,25604,0,2101,25615,84,137,14315,2026,660,0.39791520709119205,0.42605171513891343,0.04279945887903274,0.21240768050559813,0.4128462489073756,0.180028129395218,0.4179449270005544,0.0003,557,0,17,0,4138,349,,,
2020-01-23,_WORLD,483420,94591,12849,375980,341458,14420,469000,53814,30197,37422,0.3594,30762,0,4745,49069,107,1433,19150,7958,1549,0.32755969842140265,0.35675219534822,0.07093654028427797,0.2506210259163963,0.36941672651701535,0.2656359803232607,0.3717235777437596,-0.004,655,98,18,1,4482,360,,,
2020-01-24,_WORLD,838667,173451,21765,643451,547730,18594,820073,80828,38739,55804,0.324,47497,0,3817,77011,105,1423,23885,10116,3210,0.2672310726712514,0.30093806366726455,0.007387764099397708,0.15844221350376228,0.3323609683870897,0.2476007677543186,0.3343587771582388,0.0005,941,286,26,8,4470,288,,,
2020-01-25,_WORLD,1225964,175374,27457,1023133,723694,13557,1212407,101435,33948,46109,0.2508,37236,0,3566,97869,39,2321,18470,10218,2900,0.29761708181650814,0.3386224180124688,0.011293832301976246,0.22291564625696667,0.24884953533761886,0.2975018925056775,0.24767083593148223,,1433,492,42,16,4671,226,,,
2020-01-26,_WORLD,1198582,175467,30578,992537,658870,13703,1184879,88217,41206,58248,0.3184,43269,0,3375,84842,239,2547,20352,11572,6496,0.28085908104373525,0.30331999926949504,0.03857473741017242,0.3337021340999358,0.31582049259023376,0.34286698828394213,0.31505322736737146,,2118,685,56,14,5375,338,,,
2020-01-27,_WORLD,974592,179396,28294,766902,618258,19982,954610,92491,35801,63054,0.2791,49274,0,4388,88103,300,458,23126,7662,4255,0.2337487499131032,0.24405903991276406,0.07004552110018764,0.229616592294583,0.2754385627452489,0.275963149078727,0.27542623144465883,-0.0128,2927,809,82,26,5881,499,,,
2020-01-28,_WORLD,1039066,235172,36219,767675,717155,26585,1012481,80744,46321,71467,0.3645,58652,0,5257,75487,479,1006,34298,7395,3143,0.26092277285679166,0.292869383573493,0.009196945284888099,0.2586323468482859,0.3843059813958323,0.2540125610607118,0.388306248593986,0.0062,5578,2651,131,49,6451,567,,,
2020-01-29,_WORLD,1051099,234862,35046,781191,726343,26301,1024798,51480,28184,42018,0.3538,32566,0,2104,49376,583,1360,16987,6274,2980,0.2595987848561407,0.27738515438094474,0.02833040423003012,0.22546052032162522,0.3669823740217948,0.2764423076923077,0.3705618490078309,0.0009,6167,589,133,2,6795,531,,,
2020-01-30,_WORLD,1438067,331378,42491,1064198,973668,32308,1405759,71092,35406,82888,0.3325,51299,0,2308,68784,596,4151,20739,7461,2459,0.2623968734837401,0.2798942342639595,0.007669666545675095,0.3173927642572544,0.35787248064144106,0.2571554381329811,0.36111386664777156,-0.006,8235,2068,171,38,7492,525,,,
2020-01-31,_WORLD,1368262,297735,47524,1023003,967892,32636,1335626,66357,30225,60194,0.3129,46734,0,2288,64069,641,3628,14981,7062,3913,0.2781851005537146,0.2977915480095181,0.016571844326733583,0.2790150192002934,0.33564938535542493,0.2964782964782965,0.33716669574734703,-0.0112,9927,1692,213,42,11271,421,,,
